4.5	5.1
6.4	14.9
3.2	1.1
9.1	3.9
8.3	10.2
5.4	3.2
5.4	4.2
2.5	4.9
8.4	5.8
4.5	17.4
2.9	13.1
6.6	1.8
1	10.9
7.6	6.6
0.9	18.7
8.2	10.5
6.9	0.5
3.9	11.3
5.3	14.2
6.1	10.7
3.4	15.7
6.9	9.3
6.3	7.5
6.2	14
7.2	8.1
6.2	9.3
6.8	15.4
2	12.4
8.2	7.5
6.3	5.1
8.4	13
2.4	15.5
2.6	18.2
2.1	8.9
8.7	6.6
2.7	16.3
9.4	8.7
6.9	20.5
5.8	1.4
9	18.5
1.5	7.7
7.4	10.9
2.4	0.5
3.2	11.1
3.7	2
4	11
3.9	11.1
0.1	19.1
9.6	19.3
0.2	9.3
6.8	20
7.6	11.6
0.1	7.7
6.4	18.4
6.4	11.7
3.2	0.6
2.5	16.1
2.2	16.3
8.8	18.8
2.8	2.3
4.6	13.8
7.6	17.1
2.4	1.2
6.8	8.4
2.3	13.6
9.1	1.3
1	11.5
0.7	19.4
1	5.6
1	9.2
0.1	2.1
6.8	14.9
4.7	8.6
5.9	18.2
1.7	6
4	9.9
7.5	17.4
9.7	4.2
9.5	7.6
1.2	3.8
9.4	16.2
3.7	11.4
4.2	12.9
0.8	4.3
8.8	10.8
0.8	14.7
2.8	10.7
0.3	17
5.9	5
1.9	6.4
4.5	1.5
0	5.7
4.8	16.8
6.8	14.9
7.3	16.3
5.8	5.3
2.6	9.6
2.2	9.8
9.8	10.9
7.6	20.2
10	7.3
6.7	15
4.4	11.1
0.1	8.2
4.6	13.1
7.7	4.3
1.1	15
1.7	10.3
2	4.6
3	4.6
7.1	19.2
1.6	19.9
1.8	4.1
6	4.7
3	18.7
3.4	0.9
9	19.7
0.5	3.2
7.8	5.3
6	9.1
4.6	18.5
8	18.9
3.2	13.2
4.3	15.9
0	11.2
10	16.4
4.3	0.8
2	7.4
1.4	16
5.2	2.6
3.5	8.9
4.8	9.3
8.4	0.9
2.9	4
9.4	5
3.2	19.5
1.9	14.3
2.6	7.2
2.5	15
9.7	18.3
7	17.9
3.5	8.3
8.9	16.8
7.1	16.1
2.1	6.6
2.9	18.6
8.9	5.1
3.5	15.8
7.7	5.4
6.6	13.6
0.5	19.8
0.6	14.7
9.3	13
3.9	17.3
5.8	16.1
4.2	18
7.7	19.8
0.3	1.9
0.9	10.8
3.3	16.9
1.9	9.5
9.7	1.5
6.6	18.9
1.7	2.3
5.9	9.8
6.3	1
6.8	10.7
4.5	1.1
5.8	0.6
3.9	7.8
9.7	5.5
1.4	4.3
7	16.2
1.1	12.3
5.2	20.4
8.9	15.2
6.3	15.5
3.8	20.2
7.3	2.5
7.8	15.4
3.5	14.2
1.8	7.4
6.1	12.1
4.7	10.7
4.2	1.5
3.3	13.6
1.7	7.7
3	11.2
8.6	20.3
4.2	1.7
6.4	2.2
5.4	17.4
9.6	4.6
8.6	19.7
5.7	19.6
10	16.8
3.6	13.2
0.5	15.4
0.5	13.5
3.9	11.6
1.1	15.7
9.6	4.3
9.6	15
9.7	16.3
5.9	13.2
9.1	7.2
5.6	16.4
4.7	19.5
6.1	15.3
1.7	4.2
9	13.1
7.8	4.5
9.4	16.4
0	10.3
2	6.7
6.2	15.2
4.6	4.1
9.9	4.8
8.5	15.1
4.1	12
5.1	17.6
5.2	3.1
2.7	14.7
7.5	10.8
2	15.1
7.1	5.3
7	13.5
2.4	16.8
9.1	3.5
9.6	13.6
9.6	11.8
4	7.6
6.5	17.8
7.9	15
1.5	16.9
5.4	8.6
6	1.2
5	6.5
5.9	18.5
0.3	8
7.6	15.2
3.9	20
8.9	4.3
10	16.1
1.5	7
2.2	9.9
0.6	19
7.2	6.2
7.6	18.7
8.7	15.1
4.7	13.3
9.3	11.3
0.9	15
0.8	3.7
2.5	16.6
3.8	4.7
2.8	2
2.8	2.5
0.9	0.7
6.4	1
1.5	11.9
2.4	14.8
6.2	8.4
9.1	2.2
10	4.6
3.5	10.2
2.8	13.3
6	17.3
8.4	13
6.4	0.7
3.7	10.2
6.1	20.1
7.7	7.7
8.5	5.7
